"year","birthyear","gender","name"
"1931","1868","F","Marie Dressler"
"1930","1868","M","George Arliss"
"1931","1878","M","Lionel Barrymore"
"1928","1884","M","Emil Jannings"
"1932","1885","M","Wallace Beery"
"1936","1886","M","Victor McLaglen"
"1929","1889","M","Warner Baxter"
"1944","1891","M","Paul Lukas"
"1948","1891","M","Ronald Colman"
"1929","1892","F","Mary Pickford"
"1937","1895","M","Paul Muni"
"1947","1897","M","Fredric March"
"1953","1898","F","Shirley Booth"
"1943","1899","M","James Cagney"
"1952","1899","M","Humphrey Bogart"
"1934","1899","M","Charles Laughton"
"1938","1900","M","Spencer Tracy"
"1932","1900","F","Helen Hayes"
"1942","1901","M","Gary Cooper"
"1935","1901","M","Clark Gable"
"1930","1902","F","Norma Shearer"
"1945","1903","M","Bing Crosby"
"1935","1903","F","Claudette Colbert"
"1943","1904","F","Greer Garson"
"1946","1904","F","Joan Crawford"
"1982","1905","M","Henry Fonda"
"1940","1905","M","Robert Donat"
"1928","1906","F","Janet Gaynor"
"1949","1907","M","Laurence Olivier"
"1946","1907","M","Ray Milland"
"1970","1907","M","John Wayne"
"1934","1907","F","Katharine Hepburn"
"1941","1908","M","James Stewart"
"1956","1908","F","Anna Magnani"
"1965","1908","M","Rex Harrison"
"1936","1908","F","Bette Davis"
"1990","1909","F","Jessica Tandy"
"1937","1910","F","Luise Rainer"
"1959","1910","M","David Niven"
"1941","1911","F","Ginger Rogers"
"1950","1911","M","Broderick Crawford"
"1961","1913","M","Burt Lancaster"
"1940","1913","F","Vivien Leigh"
"1948","1913","F","Loretta Young"
"1958","1914","M","Alec Guinness"
"1945","1915","F","Ingrid Bergman"
"1963","1916","M","Gregory Peck"
"1977","1916","M","Peter Finch"
"1947","1916","F","Olivia de Havilland"
"1956","1917","M","Ernest Borgnine"
"1949","1917","F","Jane Wyman"
"1959","1917","F","Susan Hayward"
"1942","1917","F","Joan Fontaine"
"1975","1918","M","Art Carney"
"1954","1918","M","William Holden"
"1944","1919","F","Jennifer Jones"
"1957","1920","M","Yul Brynner"
"1960","1921","F","Simone Signoret"
"1951","1921","F","Judy Holliday"
"1967","1922","M","Paul Scofield"
"1960","1923","M","Charlton Heston"
"1969","1923","M","Cliff Robertson"
"1955","1924","M","Marlon Brando"
"1986","1924","F","Geraldine Page"
"1966","1924","M","Lee Marvin"
"1974","1925","M","Jack Lemmon"
"1987","1925","M","Paul Newman"
"1968","1925","M","Rod Steiger"
"1964","1926","F","Patricia Neal"
"1964","1927","M","Sidney Poitier"
"1971","1927","M","George C. Scott"
"1955","1929","F","Grace Kelly"
"1954","1929","F","Audrey Hepburn"
"1972","1930","M","Gene Hackman"
"1958","1930","F","Joanne Woodward"
"1962","1930","M","Maximilian Schell"
"1963","1931","F","Anne Bancroft"
"1984","1931","M","Robert Duvall"
"1961","1932","F","Elizabeth Taylor"
"1975","1932","F","Ellen Burstyn"
"1976","1934","F","Louise Fletcher"
"1970","1934","F","Maggie Smith"
"1984","1934","F","Shirley MacLaine"
"1962","1934","F","Sophia Loren"
"1965","1935","F","Julie Andrews"
"1971","1936","F","Glenda Jackson"
"1976","1937","M","Jack Nicholson"
"1972","1937","F","Jane Fonda"
"1980","1937","M","Dustin Hoffman"
"1992","1937","M","Anthony Hopkins"
"1979","1938","M","Jon Voight"
"1985","1939","M","F. Murray Abraham"
"1966","1940","F","Julie Christie"
"1993","1940","M","Al Pacino"
"1977","1941","F","Faye Dunaway"
"1981","1943","M","Robert De Niro"
"1983","1943","M","Ben Kingsley"
"2010","1943","M","Jeff Bridges"
"1988","1944","M","Michael Douglas"
"2007","1945","F","Helen Mirren"
"1978","1946","F","Diane Keaton"
"1996","1946","F","Susan Sarandon"
"1973","1946","F","Liza Minnelli"
"1988","1946","F","Cher"
"1980","1946","F","Sally Field"
"1978","1947","M","Richard Dreyfuss"
"1991","1948","M","Jeremy Irons"
"1991","1948","F","Kathy Bates"
"1981","1949","F","Sissy Spacek"
"1995","1949","F","Jessica Lange"
"1983","1949","F","Meryl Streep"
"1986","1950","M","William Hurt"
"1997","1951","M","Geoffrey Rush"
"1999","1952","M","Roberto Benigni"
"2002","1954","M","Denzel Washington"
"2005","1954","M","Jamie Fox"
"1994","1956","M","Tom Hanks"
"1997","1957","F","Frances McDormand"
"1990","1957","M","Daniel Day-Lewis"
"1994","1958","F","Holly Hunter"
"1993","1959","F","Emma Thompson"
"2000","1959","M","Kevin Spacey"
"2004","1960","M","Sean Penn"
"2015","1960","F","Julianne Moore"
"2011","1960","M","Colin Firth"
"2007","1961","M","Forest Whitaker"
"1989","1962","F","Jodie Foster"
"1998","1963","F","Helen Hunt"
"2001","1964","M","Russell Crowe"
"1996","1964","M","Nicolas Cage"
"2010","1964","F","Sandra Bullock"
"1987","1965","F","Marlee Matlin"
"2002","1966","F","Halle Berry"
"2001","1967","F","Julia Roberts"
"2006","1967","M","Philip Seymour Hoffman"
"2003","1967","F","Nicole Kidman"
"2014","1969","M","Matthew McConaughey"
"2014","1969","F","Cate Blanchett"
"1999","1972","F","Gwyneth Paltrow"
"2012","1972","M","Jean Dujardin"
"2003","1973","M","Adrien Brody"
"2000","1974","F","Hilary Swank"
"2008","1975","F","Marion Cotillard"
"2004","1975","F","Charlize Theron"
"2009","1975","F","Kate Winslet"
"2006","1976","F","Reese Witherspoon"
"2011","1981","F","Natalie Portman"
"2015","1982","M","Eddie Redmayne"
"2013","1990","F","Jennifer Lawrence"
